"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
12.5,180,-140,-16.2009779435943
12.5,180,-139,-16.4190985868824
12.5,180,-138,-16.8007365536201
12.5,180,-137,-17.3429785792243
12.5,180,-136,-18.0559353938621
12.5,180,-135,-18.9653628861559
12.5,180,-134,-20.1188795211262
12.5,180,-133,-21.599749665253
12.5,180,-132,-23.5597902115207
12.5,180,-131,-26.3116384434295
12.5,180,-130,-30.6769848340101
12.5,180,-129,-40.6792836319166
12.5,180,-128,-38.8212877899027
12.5,180,-127,-29.7309661956119
12.5,180,-126,-25.3538600693688
12.5,180,-125,-22.4640092799425
12.5,180,-124,-20.3290453924576
